#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
0304-51957-0239 141747.96-000549.37 017 18.671 0.031 18.401 0.019 18.665 0.014 18.945 0.017 19.247 0.055 0.034 016.1 343.8 055.8 DA        016793 00198 8.049 0.041   42   16 015 00488 00282 00233 0.641 0.022 016793 8.049    0  0.000 0.64122 0.01534
0305-51613-0134 142737.33-000049.95 021 17.623 0.019 17.985 0.016 18.431 0.015 18.801 0.018 19.128 0.048 0.032 014.3 347.3 054.4 DA        036568 00413 7.713 0.058   14   23 019 02309 00636 00517 0.533 0.015 036568 7.713    0  0.000 0.53346 0.01149
0305-51613-0210 142501.60-001314.80 014 19.235 0.027 18.755 0.017 18.860 0.020 18.993 0.019 19.157 0.061 0.033 045.0 346.2 054.6 DA        010740 00070 8.068 0.079  -10   16 012 00073 00211 00172 0.639 0.044 010630 7.840 -110 -0.228 0.52396 0.02159
0305-51613-0512 142601.48+010000.22 010 19.901 9.437 24.802 5.741 24.802 5.741 24.362 3.374 21.142 0.427 0.027 000.0 347.9 055.4 DA        017121 00407 7.009 0.080    0    0 000 00000 00000 00000 0.000 0.000 017121 7.009    0  0.000 0.27066 0.01563
0305-51613-0514 142539.74+010926.89 010 19.168 0.032 19.151 0.030 19.428 0.022 19.747 0.039 20.130 0.162 0.026 053.9 347.9 055.6 DA        021738 00506 7.681 0.077   60   25 010 01750 00647 00534 0.506 0.022 021738 7.681    0  0.000 0.50591 0.01598
0306-51637-0196 143154.57-001231.25 017 18.806 0.024 18.746 0.020 18.746 0.020 18.749 0.016 19.024 0.043 0.037 031.8 348.5 053.5 DA        012957 00151 8.138 0.049    0    0 000 00000 00000 00000 0.000 0.000 013066 8.102  109 -0.036 0.66350 0.01943
0306-51690-0400 142846.41+004526.35 016 18.986 0.023 18.534 0.017 18.597 0.017 18.650 0.018 18.758 0.038 0.030 098.6 348.5 054.8 DA        009282 00040 8.085 0.071   -8   11 015 00107 00150 00123 0.646 0.040 009229 7.815  -53 -0.270 0.51934 0.01968
0306-51690-0495 143159.73+000216.12 026 18.191 0.020 17.859 0.018 18.275 0.021 18.397 0.027 18.695 0.038 0.035 022.5 348.8 053.7 DA        015620 00116 8.109 0.025   43   10 023 00419 00205 00165 0.672 0.014 015620 8.109    0  0.000 0.67183 0.00965
0307-51663-0129 143834.50-004928.28 006 19.894 0.036 19.684 0.023 19.968 0.022 20.189 0.030 20.256 0.099 0.037 021.5 350.0 052.0 DA        012839 00423 7.993 0.170  -31   44 005 00221 00414 00326 0.603 0.087 012952 7.964  113 -0.029 0.58807 0.05692
0307-51663-0429 143729.77+001124.04 019 18.095 0.024 18.077 0.019 18.425 0.022 18.722 0.020 19.056 0.045 0.039 023.2 350.7 052.9 DA        021261 00280 7.899 0.041    5   14 017 00555 00332 00265 0.576 0.019 021261 7.899    0  0.000 0.57551 0.01333
0307-51663-0547 144028.75+003939.65 008 19.430 0.030 19.455 0.019 19.822 0.033 20.050 0.032 20.278 0.114 0.039 024.1 352.2 052.8 DA        018409 00459 7.876 0.084   37   33 007 01846 00551 00439 0.557 0.037 018409 7.876    0  0.000 0.55733 0.02598
0307-51663-0556 144015.58+002441.60 016 19.084 0.021 18.610 0.020 18.731 0.031 18.816 0.021 18.955 0.047 0.041 048.2 351.8 052.6 DA        010198 00050 7.839 0.074   -1   13 014 00082 00211 00167 0.524 0.028 010080 7.570 -118 -0.269 0.41478 0.02109
0308-51662-0345 144137.38-000528.65 018 18.430 0.025 18.373 0.018 18.710 0.013 19.006 0.017 19.153 0.046 0.033 036.7 351.7 052.0 DA        020596 00255 8.080 0.041   -6   16 016 00362 00327 00257 0.665 0.022 020596 8.080    0  0.000 0.66541 0.01525
0308-51662-0353 144050.24-000058.94 006 20.204 0.037 19.673 0.016 19.643 0.022 19.743 0.026 19.863 0.086 0.035 014.2 351.5 052.2 DA        009188 00101 8.058 0.199   72   29 006 00017 00245 00193 0.631 0.112 009140 7.787  -48 -0.271 0.50459 0.06079
0308-51662-0357 144312.69-000657.92 016 19.099 0.037 18.656 0.019 18.809 0.016 19.011 0.018 19.197 0.048 0.035 012.9 352.1 051.7 DA        012378 00140 7.916 0.062    7   15 014 00008 00259 00203 0.562 0.031 012458 7.867   80 -0.049 0.53765 0.01745
0308-51662-0568 144859.40+011243.65 007 20.184 0.058 19.636 0.021 19.834 0.023 20.043 0.032 20.074 0.124 0.040 028.7 355.3 051.7 DA        012927 00412 8.170 0.151  117   39 006 00007 00356 00279 0.703 0.089 013033 8.129  106 -0.041 0.67852 0.06260
0309-51994-0457 145326.50+005135.41 017 19.017 0.024 18.612 0.015 18.627 0.014 18.758 0.019 18.883 0.038 0.048 039.6 356.1 050.7 DA        010365 00049 8.303 0.059  -12   13 015 00019 00155 00120 0.783 0.038 010257 8.034 -108 -0.269 0.61952 0.02303
0309-51994-0529 145535.50+010246.36 014 19.452 0.031 18.959 0.019 18.930 0.017 19.024 0.022 19.103 0.048 0.039 078.7 356.9 050.4 DA        009383 00052 7.979 0.099  -32   14 013 00153 00194 00149 0.588 0.053 009321 7.711  -62 -0.268 0.47058 0.03084
0310-51990-0133 150330.49-005211.22 017 18.843 0.030 18.412 0.017 18.514 0.016 18.679 0.015 18.893 0.040 0.052 026.3 356.9 047.7 DA        012066 00115 8.298 0.055   40   15 015 00265 00173 00128 0.782 0.035 012092 8.180   26 -0.118 0.70700 0.02230
0310-51990-0377 150124.62+005430.35 020 18.591 0.019 18.129 0.016 18.182 0.015 18.292 0.016 18.452 0.028 0.041 040.2 358.3 049.3 DA        010403 00042 8.339 0.050   -3   11 018 00093 00124 00094 0.803 0.030 010294 8.071 -109 -0.268 0.64024 0.01983
0311-51665-0461 151058.76+004112.71 008 19.861 0.039 19.418 0.021 19.491 0.019 19.078 0.022 18.406 0.030 0.040 062.3 000.5 047.3 DA+M      011115 00146 8.639 0.109  200   31 008 01847 00167 00123 0.987 0.057 011002 8.430 -113 -0.209 0.86156 0.04796
0312-51689-0056 151833.21-005641.56 010 19.581 0.030 19.130 0.017 19.062 0.014 19.062 0.017 19.092 0.052 0.052 063.8 000.5 044.8 DA        008942 00099 7.795 0.202    2   19 009 00369 00210 00148 0.508 0.088 008903 7.526  -39 -0.269 0.39198 0.05291
0312-51689-0371 151421.26+004752.81 057 15.485 0.012 15.685 0.012 16.092 0.014 16.424 0.014 16.724 0.014 0.044 027.6 001.4 046.8 DA        029263 00061 7.797 0.013   12    4 055 00165 00168 00122 0.548 0.005 029263 7.797    0  0.000 0.54848 0.00376
0312-51689-0586 152008.32+001126.12 022 18.648 0.019 18.239 0.069 18.239 0.069 18.355 0.279 18.537 0.597 0.056 000.0 002.1 045.3 DA        010684 00044 8.048 0.047    0    0 000 00000 00000 00000 0.000 0.000 010572 7.814 -112 -0.234 0.52161 0.01117
0313-51673-0543 152717.25+002413.37 006 20.187 0.040 19.638 0.016 19.658 0.024 19.031 0.023 18.444 0.033 0.062 014.9 004.0 044.0 DA+M      011508 00999 6.745 0.139  -92   32 006 02343 00721 00501 0.215 0.021 011234 6.743 -274 -0.002 0.21328 0.01464
0315-51663-0060 154034.63-004539.33 013 19.114 0.027 18.547 0.014 18.592 0.014 18.667 0.015 18.865 0.041 0.106 032.4 005.5 040.7 DA        011875 00138 8.137 0.081  -28   19 012 00853 00192 00125 0.681 0.045 011885 8.028   10 -0.109 0.61990 0.03102
0315-51663-0077 154244.07-000458.51 018 18.068 0.015 18.264 0.012 18.264 0.012 18.535 0.016 18.831 0.043 0.081 006.8 006.6 040.7 DA        020974 00287 7.858 0.043    0    0 000 00000 00000 00000 0.000 0.000 020974 7.858    0  0.000 0.55523 0.01362
0315-51663-0177 153931.54+000118.44 021 17.805 0.017 17.875 0.012 18.231 0.015 18.515 0.014 18.877 0.041 0.077 025.1 006.1 041.4 DA        027400 00250 7.877 0.039   38   13 020 01451 00368 00243 0.579 0.017 027400 7.877    0  0.000 0.57938 0.01204
0326-52375-0024 113213.56-030256.30 008 19.339 0.026 18.931 0.019 19.020 0.016 19.183 0.023 19.337 0.059 0.033 034.0 267.5 054.3 DA        011037 00145 8.636 0.125  -10   30 008 00066 00155 00126 0.985 0.067 010921 8.419 -116 -0.217 0.85439 0.05441
0326-52375-0047 112859.67-030951.42 020 18.278 0.017 17.862 0.021 18.088 0.019 18.296 0.018 18.627 0.034 0.033 043.7 266.4 053.8 DA        012833 00132 8.072 0.046   27   12 018 00000 00174 00141 0.646 0.025 012942 8.034  109 -0.038 0.62541 0.01750
0326-52375-0059 112904.58-030744.94 009 19.220 0.026 18.862 0.022 19.111 0.022 19.356 0.024 19.560 0.072 0.034 014.0 266.4 053.8 DA        015209 00366 8.030 0.080  133   29 009 00373 00323 00261 0.628 0.042 015209 8.030    0  0.000 0.62792 0.02975
0326-52375-0089 112800.09-033103.54 015 18.783 0.022 18.303 0.040 18.416 0.164 18.585 0.280 18.811 0.083 0.058 039.2 266.4 053.3 DA        011309 00093 8.117 0.070  141   15 013 00044 00178 00142 0.669 0.040 011243 7.965  -66 -0.152 0.58453 0.02607
0326-52375-0165 112738.29-022836.26 011 19.260 0.024 18.807 0.015 18.990 0.021 19.176 0.017 19.449 0.062 0.033 036.0 265.3 054.2 DA        013018 00560 7.792 0.086    5   23 010 00373 00314 00255 0.521 0.029 013138 7.784  120 -0.008 0.51878 0.02103
0326-52375-0229 112519.59-030335.17 006 20.055 0.047 19.657 0.027 19.766 0.024 19.980 0.038 20.206 0.131 0.061 032.2 265.1 053.4 DA        011306 00241 7.917 0.207   55   43 005 00142 00358 00287 0.560 0.097 011234 7.788  -72 -0.129 0.51346 0.06136
0326-52375-0234 112521.25-023433.31 006 20.052 0.041 19.649 0.018 19.677 0.023 19.748 0.027 19.981 0.100 0.039 093.0 264.6 053.8 DA        009603 00122 8.239 0.231  107   36 005 00275 00229 00184 0.736 0.141 009532 7.974  -71 -0.265 0.58511 0.08167
0327-52294-0131 113431.97-031528.99 007 19.646 0.034 19.574 0.019 19.797 0.018 20.065 0.026 20.423 0.082 0.029 053.1 268.5 054.4 DAH       016862 00855 9.013 0.095  164   51 006 00253 00220 00179 1.172 0.039 016862 9.013    0  0.000 1.17199 0.02788
0327-52294-0183 113320.26-023439.31 022 18.580 0.015 18.099 0.017 18.082 0.016 18.144 0.013 18.265 0.034 0.020 012.7 267.5 054.8 DA        009441 00031 8.194 0.059   40    8 020 00555 00116 00095 0.710 0.036 009380 7.927  -61 -0.267 0.55980 0.02168
0327-52294-0299 113126.68-030744.60 007 19.745 0.037 19.394 0.027 19.649 0.019 19.939 0.029 20.031 0.105 0.039 022.6 267.3 054.1 DA        013861 00518 7.756 0.116  -24   36 006 00348 00454 00368 0.508 0.040 013949 7.757   88  0.001 0.50892 0.02852
0327-52294-0535 113604.01-013658.15 028 18.227 0.032 17.805 0.013 17.966 0.017 18.159 0.019 18.408 0.033 0.021 032.9 267.7 056.0 DA        011875 00061 8.150 0.029   41    8 025 00040 00150 00124 0.689 0.017 011884 8.039    9 -0.111 0.62593 0.01107
0328-52282-0226 114049.41-025712.36 013 19.465 0.030 19.139 0.030 19.309 0.018 19.056 0.022 18.520 0.028 0.020 120.6 270.7 055.4 DA+M      015718 00332 7.988 0.070   26   23 011 05873 00334 00275 0.607 0.035 015718 7.988    0  0.000 0.60695 0.02509
0328-52282-0348 113708.14-015923.63 013 19.600 0.034 19.187 0.018 19.336 0.019 19.530 0.025 19.709 0.067 0.022 015.7 268.4 055.8 DA        011912 00142 8.200 0.071   43   20 011 00023 00268 00221 0.716 0.044 011924 8.085   12 -0.115 0.65161 0.02809
0330-52370-0140 115343.38-031233.84 015 18.715 0.030 18.224 0.025 18.051 0.021 18.002 0.019 18.068 0.027 0.018 171.1 276.0 056.6 DA        007184 00050 7.802 0.130   46    9 015 00014 00096 00080 0.504 0.055 007182 7.711   -2 -0.091 0.46216 0.04100
0331-52368-0199 120054.55-025107.01 018 18.567 0.027 18.158 0.018 18.277 0.024 18.514 0.017 18.729 0.050 0.027 015.9 278.8 057.6 DA        012095 00106 8.315 0.048    0   13 016 00086 00158 00133 0.792 0.029 012123 8.196   28 -0.119 0.71400 0.02002
0331-52368-0245 115917.88-033521.58 011 19.050 0.023 18.635 0.020 18.620 0.032 18.757 0.033 18.832 0.051 0.027 034.1 278.7 056.8 DA        009156 00057 8.125 0.132   11   17 011 00082 00148 00124 0.669 0.077 009111 7.854  -45 -0.271 0.52440 0.04137
0332-52367-0107 121258.21-030713.87 022 17.395 0.018 17.633 0.017 18.086 0.015 18.430 0.013 18.759 0.040 0.023 011.1 284.4 058.4 DA        033856 00228 7.304 0.051   -8   16 021 00000 00712 00607 0.447 0.013 033856 7.304    0  0.000 0.44729 0.00645
0332-52367-0111 121209.14-023435.24 014 18.565 0.025 18.482 0.019 18.776 0.015 19.081 0.021 19.324 0.070 0.022 039.0 283.7 058.8 DA        018637 00270 8.098 0.049   63   20 013 00154 00314 00268 0.671 0.027 018637 8.098    0  0.000 0.67132 0.01885
0332-52367-0184 120927.95-030206.29 033 16.326 0.017 16.775 0.019 17.373 0.013 17.735 0.017 18.092 0.026 0.022 014.7 282.8 058.2 DA        076137 02810 6.758 0.101   98   23 031 05580 06586 05597 0.451 0.011 076137 6.758    0  0.000 0.45144 0.00796
0332-52367-0193 120948.46-025539.08 011 19.169 0.026 18.762 0.020 18.737 0.015 18.743 0.019 18.839 0.043 0.024 012.9 282.8 058.3 DA        007865 00063 7.815 0.164   68   13 011 00476 00148 00125 0.514 0.072 007858 7.648   -7 -0.167 0.43883 0.04944
0332-52367-0306 120515.80-024222.65 010 18.496 0.027 18.522 0.021 18.849 0.022 19.164 0.019 19.394 0.078 0.025 021.6 280.7 058.2 DA        023761 00713 7.431 0.096    5   25 009 02235 00638 00542 0.428 0.029 023761 7.431    0  0.000 0.42773 0.02055
0332-52367-0430 120807.62-020454.19 010 19.262 0.032 18.923 0.028 19.207 0.019 19.378 0.024 19.708 0.090 0.022 059.0 281.6 059.0 DA        015397 00330 8.011 0.069   68   27 009 00831 00347 00297 0.618 0.036 015397 8.011    0  0.000 0.61818 0.02536
0332-52367-0564 121258.25-012310.20 036 17.064 0.021 16.774 0.013 16.947 0.010 16.646 0.015 16.148 0.018 0.020 024.2 283.4 060.0 DA+M      009915 00019 7.828 0.029  170    4 034 00181 00084 00073 0.522 0.006 009812 7.558 -103 -0.270 0.40879 0.00820
0333-52313-0059 122154.82-032436.63 016 18.715 0.022 18.271 0.020 18.334 0.015 18.464 0.021 18.642 0.040 0.039 049.2 288.7 058.6 DA        010538 00059 7.995 0.081   24   14 015 00095 00172 00146 0.599 0.044 010422 7.745 -116 -0.250 0.48974 0.02335
0333-52313-0073 122231.20-024924.06 010 19.285 0.024 19.130 0.016 19.443 0.019 19.674 0.024 19.954 0.100 0.028 020.7 288.7 059.2 DA        018944 00425 8.095 0.074   54   31 009 01196 00428 00368 0.670 0.039 018944 8.095    0  0.000 0.67027 0.02759
0333-52313-0077 122229.58-024332.54 040 17.155 0.013 16.746 0.014 16.826 0.015 17.037 0.015 17.358 0.019 0.027 106.4 288.6 059.3 DA        011672 00039 8.233 0.022   26    5 035 00278 00085 00073 0.736 0.016 011649 8.100  -23 -0.133 0.65983 0.00877
0334-51993-0491 122851.12-022148.74 017 18.760 0.030 18.400 0.020 18.430 0.010 18.500 0.010 18.640 0.040 0.000 000.0 000.0 000.0 DA        009549 00040 8.122 0.067    0    0 000 00000 00000 00000 0.000 0.000 009480 7.856  -69 -0.266 0.52481 0.01873
0334-51993-0569 123033.48-011541.94 011 18.943 0.016 19.009 0.016 19.009 0.016 19.287 0.027 19.814 0.136 0.019 003.5 292.1 061.2 DA        016759 00351 8.126 0.070    0    0 000 00000 00000 00000 0.000 0.000 016759 8.126    0  0.000 0.68345 0.02590
0334-51993-0624 123145.00-022013.39 016 18.714 0.021 18.373 0.015 18.623 0.014 18.910 0.017 19.093 0.050 0.024 012.6 293.0 060.2 DA        015393 00247 7.965 0.051   57   17 014 00370 00278 00241 0.594 0.025 015393 7.965    0  0.000 0.59417 0.01799
0335-52000-0361 123501.85-014806.13 009 19.044 0.034 19.225 0.014 19.630 0.030 19.961 0.041 20.322 0.161 0.028 014.5 294.5 060.8 DA        026611 00682 7.618 0.094   41   30 008 00841 00873 00762 0.501 0.025 026611 7.618    0  0.000 0.50124 0.01777
0335-52000-0398 123350.18-021408.22 010 19.506 0.034 19.039 0.015 19.073 0.024 19.303 0.026 19.865 0.120 0.031 055.5 294.0 060.3 DA        011924 00172 7.952 0.113    5   25 009 00856 00289 00251 0.580 0.058 011943 7.870   19 -0.082 0.53775 0.03397
0335-52000-0489 123836.74-013936.23 013 19.150 0.025 18.827 0.019 19.063 0.023 19.383 0.033 19.670 0.096 0.025 024.3 296.3 061.0 DA        016961 00253 8.086 0.052  -30   21 012 01701 00344 00300 0.662 0.028 016961 8.086    0  0.000 0.66190 0.01984
0336-51999-0010 124825.88-031211.93 007 19.314 0.033 18.866 0.027 18.858 0.016 18.928 0.020 19.189 0.062 0.023 033.3 301.4 059.7 DA        008994 00088 7.111 0.279   29   24 007 00097 00304 00262 0.271 0.064 008934 6.840  -60 -0.271 0.21941 0.03221
0337-51997-0051 125342.60-032842.70 019 18.310 0.018 17.928 0.018 18.128 0.012 18.376 0.016 18.657 0.044 0.017 025.6 304.0 059.4 DA        014291 00256 7.992 0.045    7   13 017 00718 00208 00179 0.606 0.023 014346 7.993   55  0.001 0.60655 0.01640
0339-51692-0115 130655.45-025602.33 011 19.144 0.031 19.184 0.022 19.184 0.022 19.447 0.027 19.567 0.080 0.020 011.5 310.6 059.7 DA        016067 00322 8.052 0.067    0    0 000 00000 00000 00000 0.000 0.000 016067 8.052    0  0.000 0.64139 0.02503
0339-51692-0331 130202.06-015134.99 029 17.585 0.017 17.186 0.018 17.298 0.012 17.433 0.015 17.634 0.023 0.019 071.6 308.4 060.9 DA        010806 00037 8.236 0.034   39    7 026 00111 00094 00082 0.736 0.024 010701 8.008 -105 -0.228 0.60641 0.01302
0339-51692-0629 131007.88-015955.96 024 18.126 0.018 17.699 0.029 17.783 0.015 17.929 0.013 18.182 0.029 0.025 063.2 312.5 060.5 DA        011070 00049 7.870 0.045   15    9 022 00098 00154 00134 0.535 0.017 010971 7.713  -99 -0.157 0.47792 0.01332
0340-51691-0117 131518.60-022826.71 019 18.488 0.029 18.044 0.022 18.262 0.023 18.452 0.015 18.748 0.040 0.024 088.0 314.9 059.8 DA        012851 00138 8.037 0.051   48   13 017 00000 00193 00167 0.627 0.028 012962 8.004  111 -0.033 0.60951 0.01908
0340-51990-0114 131518.60-022826.72 019 18.488 0.022 18.262 0.023 18.262 0.023 18.452 0.015 18.748 0.040 0.024 088.0 314.9 059.8 DA        013265 00232 7.917 0.042    0    0 000 00000 00000 00000 0.000 0.000 013382 7.911  117 -0.006 0.56197 0.01460
0340-51990-0299 131010.92-030547.18 008 19.858 0.041 19.500 0.027 19.678 0.019 19.902 0.034 20.162 0.134 0.026 016.6 312.2 059.4 DA        013345 00518 7.520 0.124   19   33 007 00006 00531 00457 0.411 0.042 013459 7.521  114  0.001 0.41205 0.03008
0340-51990-0618 131557.18-013125.55 018 18.611 0.023 18.226 0.017 18.444 0.019 18.642 0.023 18.720 0.073 0.023 015.3 315.5 060.7 DA        012549 00132 8.007 0.053   43   14 016 00002 00209 00182 0.610 0.028 012644 7.957   95 -0.050 0.58374 0.01942
0341-51690-0266 131907.33-023406.43 015 18.695 0.028 18.517 0.017 18.684 0.017 18.844 0.027 19.111 0.058 0.027 067.1 316.7 059.6 DAB       006802 00050 7.340 0.148   32    9 014 05202 00139 00120 0.321 0.046 006800 7.255   -2 -0.085 0.29306 0.02953
0341-51690-0300 131644.88-031638.29 011 19.220 0.041 18.901 0.025 18.727 0.018 18.721 0.018 18.756 0.041 0.036 064.1 315.3 059.0 DA        007298 00072 8.248 0.151   35   14 011 00288 00100 00085 0.739 0.094 007296 8.162   -2 -0.086 0.68713 0.06515
0342-51691-0008 155043.25-010636.32 006 19.415 0.033 19.371 0.014 19.627 0.022 19.860 0.028 19.884 0.104 0.116 020.0 007.1 038.5 DA        027559 00919 7.830 0.143  -65   47 006 00000 00707 00440 0.559 0.074 027559 7.830    0  0.000 0.55872 0.03678
0342-51691-0029 155243.05-000524.51 013 18.805 0.025 18.771 0.013 19.041 0.014 19.258 0.021 19.440 0.077 0.081 034.8 008.6 038.7 DA        021327 00473 7.954 0.068   47   23 011 00474 00404 00253 0.602 0.032 021327 7.954    0  0.000 0.60208 0.02280
0342-51691-0155 154832.76-001717.93 019 18.593 0.018 18.192 0.012 18.224 0.011 18.355 0.018 18.443 0.028 0.082 053.0 007.6 039.4 DA        009841 00039 8.571 0.058   41   12 017 00037 00098 00062 0.949 0.035 009756 8.307  -85 -0.264 0.78415 0.02633
0342-51691-0211 154647.30-005003.51 020 18.182 0.023 18.083 0.022 18.342 0.017 18.567 0.015 18.835 0.039 0.090 022.0 006.7 039.4 DA        020794 00287 7.380 0.044   82   12 018 00719 00423 00268 0.399 0.011 020794 7.380    0  0.000 0.39925 0.00802
0342-51691-0410 154620.51+010848.66 011 19.373 0.017 19.244 0.016 19.244 0.016 19.451 0.020 19.688 0.073 0.085 008.0 008.7 040.7 DA        017108 00304 8.364 0.060    0    0 000 00000 00000 00000 0.000 0.000 017108 8.364    0  0.000 0.82718 0.02560
0342-51691-0419 154639.84+005916.66 014 19.217 0.025 18.792 0.025 18.999 0.018 19.223 0.020 19.391 0.069 0.084 022.0 008.6 040.5 DA        011872 00125 8.335 0.062  -47   18 013 00462 00201 00131 0.803 0.037 011869 8.203   -3 -0.132 0.71682 0.02743
0342-51691-0639 155238.21+003910.39 017 18.592 0.019 18.472 0.019 18.647 0.019 18.867 0.019 19.117 0.055 0.077 052.9 009.3 039.1 DAH:      014983 00315 9.273 0.042  117   21 014 00321 00094 00059 1.262 0.012 014983 9.273    0  0.000 1.26193 0.00826
0342-51691-0640 155222.55+003724.54 019 18.114 0.020 18.251 0.014 18.616 0.011 18.937 0.015 19.185 0.048 0.074 020.3 009.2 039.2 DA        029255 00234 7.619 0.048   32   16 016 01312 00570 00360 0.512 0.013 029255 7.619    0  0.000 0.51237 0.00933
0343-51692-0078 160008.07-000840.43 014 19.141 0.030 18.650 0.012 18.606 0.012 18.672 0.017 18.838 0.039 0.107 042.0 009.9 037.1 DA        009795 00052 8.100 0.101    4   16 013 00403 00162 00097 0.656 0.057 009710 7.834  -85 -0.266 0.52285 0.02938
0343-51692-0191 155602.62-000721.74 008 19.514 0.029 19.439 0.016 19.723 0.020 19.901 0.032 20.167 0.137 0.110 038.9 009.2 038.0 DA        020625 00628 7.667 0.101   63   33 007 01125 00624 00384 0.496 0.030 020625 7.667    0  0.000 0.49595 0.02147
0343-51692-0369 155406.59+003453.26 007 19.763 0.030 19.331 0.016 19.344 0.019 19.501 0.024 19.730 0.071 0.087 017.1 009.5 038.8 DA        010854 00165 8.110 0.143   20   35 006 00007 00252 00158 0.664 0.082 010750 7.896 -104 -0.214 0.54723 0.04591
0343-51692-0402 155412.85+011119.81 014 18.771 0.020 18.524 0.017 18.782 0.016 19.001 0.022 19.330 0.075 0.090 025.0 010.2 039.1 DA        018835 00319 7.727 0.056   19   20 012 00844 00376 00237 0.514 0.016 018835 7.727    0  0.000 0.51428 0.01210
0344-51693-0111 160554.53-002811.21 038 17.052 0.019 16.636 0.013 16.667 0.015 16.772 0.015 16.902 0.016 0.131 146.2 010.6 035.8 DA        009357 00017 8.145 0.029  -19    4 036 00005 00061 00036 0.681 0.017 009300 7.877  -57 -0.268 0.53394 0.00879
0344-51693-0537 160515.45+005432.46 008 19.868 0.039 19.348 0.017 19.170 0.016 19.122 0.020 19.139 0.057 0.140 016.0 011.9 036.7 DA        007544 00107 8.758 0.161   66   25 008 00162 00086 00051 1.043 0.082 007541 8.646   -3 -0.112 0.99262 0.06324
0345-51690-0197 160918.48-003118.82 013 19.379 0.031 18.769 0.015 18.546 0.012 18.488 0.015 18.490 0.033 0.116 118.0 011.1 035.0 DA        006813 00058 7.167 0.207   30   10 013 00028 00154 00088 0.269 0.051 006811 7.059   -2 -0.108 0.24667 0.03129
0345-51690-0198 160916.74-000701.00 021 18.820 0.028 18.212 0.022 18.199 0.086 18.253 0.105 18.368 0.033 0.104 034.4 011.5 035.3 DA        009823 00036 8.168 0.058   59   10 019 00129 00133 00076 0.696 0.033 009738 7.902  -85 -0.266 0.54752 0.01935
