element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,2,"=""3974.7828""","=""0.0032""","=""3974.798""","=""0.003""","=""65bl""","=""""",,"=""190196.2066""","=""192712.058""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4d""","=""2D""","=""3/2""",,"=""""","=""L9974""",
Cl,1,"=""3975.48""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Cr,1,"=""3975.577""","=""0.003""","=""3975.5755""","=""0.0011""","=""24""","=""""",,"=""24286.5418""","=""26801.9009""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(6S).4p""","=""z 5P*""","=""1""",,"=""""","=""L14866""",
Cl,1,"=""3976.17""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Xe,1,"=""3977.011""","=""0.100""","=""3977.03+""","=""0.16""","=""7""","=""""",,"=""90907.090""","=""93421.53""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""""","=""L234""",
Ti,1,"=""3977.731""","=""0.019""","=""3977.726""","=""0.008""","=""23""","=""""",,"=""17423.856""","=""19937.855""","=""3d3.(2D2).4s""","=""a 3D""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""z 3D*""","=""1""",,"=""""","=""L10989""",
Cr,1,"=""3977.978""","=""0.016""","=""3977.9787""","=""0.0014""","=""1""","=""""",,"=""31028.2590""","=""33542.0985""","=""3d5.(2D3).4s""","=""b 3D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""2""",,"=""""","=""L14866""",
Cu,1,"=""3978.019""","=""0.022""","=""3978.010""","=""0.014""","=""4650""","=""""",,"=""55391.297""","=""57905.117""","=""3d10.5d""","=""2D""","=""5/2""","=""3d10.5f""","=""2F*""","=""5/2""",,"=""""","=""L18039""",
C,1,"=""3980.4766""","=""0.0006""","=""3980.4765""","=""0.0006""","=""11000""","=""2.03e+06""",B,"=""81325.81077""","=""83838.0728""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3D*""","=""2""",,"=""T6070n""","=""L12175c183""",
Ne,1,"=""3980.9128""","=""0.0004""","=""3980.9122""","=""0.0022""","=""160""","=""""",,"=""167026.9923""","=""169538.9794""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Xe,1,"=""3981.66""","=""0.40""","=""3981.72+""","=""0.16""","=""1""","=""""",,"=""90910.052""","=""93421.53""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""""","=""L1975""",
Ne,1,"=""3981.7158""","=""0.0004""","=""3981.716""","=""0.010""","=""180""","=""4.00e+05""",B+,"=""163401.3061""","=""165912.7861""","=""2s2.2p5.(2P*<3/2>).4p""","=""2[1/2]""","=""0""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Xe,1,"=""3982.185""","=""0.100""","=""3982.21+""","=""0.16""","=""4""","=""""",,"=""90910.052""","=""93421.22""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""5p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",,"=""""","=""L234""",
Th,2,"=""3982.2246""","=""0.0017""","=""3982.22415""","=""0.00025""","=""1""","=""""",,"=""4490.26167""","=""7001.42117""","=""5f.7s2""","=""2F*""","=""5/2""","=""6d3""","=""""","=""3/2""",,"=""""","=""L9974""",
Th,2,"=""3982.8862""","=""0.0013""","=""3982.88568""","=""0.00024""","=""7""","=""""",,"=""8605.84210""","=""11116.58451""","=""6d2.(3F).7s""","=""2F""","=""5/2""","=""5f.6d.(3G*).7s""","=""4G*""","=""7/2""",,"=""""","=""L9974""",
Kr,1,"=""3983.0911""","=""0.0010""","=""3983.11+""","=""0.16""","=""120""","=""""",,"=""104630.57""","=""107141.171""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""","=""4s2.4p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""",,"=""""","=""L234""",
Ne,1,"=""3984.0733""","=""0.0004""","=""3984.0725""","=""0.0022""","=""150""","=""""",,"=""167807.7649""","=""170317.7594""","=""2s2.2p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""","=""2s2.2p5.(2P*<1/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Cr,1,"=""3984.498""","=""0.011""","=""3984.4966""","=""0.0010""","=""7""","=""""",,"=""24286.5418""","=""26796.2691""","=""3d5.(4D).4s""","=""b 5D""","=""1""","=""3d5.(6S).4p""","=""z 5P*""","=""2""",,"=""""","=""L14866""",
C,1,"=""3985.4872""","=""0.0016""","=""3985.4877""","=""0.0013""","=""7000""","=""1.43e+06""",B,"=""81311.0544""","=""83820.1576""","=""2s2.2p.4p""","=""3P""","=""0""","=""2s2.2p.4d""","=""3D*""","=""1""",,"=""T6070n""","=""L12175c183""",
Fe,2,"=""3986.1214""","=""0.0007""","=""3986.1203""","=""0.0019""","=""0.15bl(Fe I)""","=""""",,"=""109601.572""","=""112110.277""","=""3d6.(3D).5s""","=""2D""","=""3/2""","=""3d6.(3F2).5p""","=""4G*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3986.122""","=""0.005""","=""3986.1235""","=""0.0022""","=""1380""","=""""",,"=""47966.585""","=""50475.288""","=""3d5.(6S).4s2.4p""","=""v 5P*""","=""3""","=""3d6.(5D).4s (6D).4d""","=""e 7P""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""3986.7226""","=""0.0018""","=""3986.7242""","=""0.0008""","=""0.08""","=""""",,"=""105220.610""","=""107728.935""","=""3d6.(3H).4d""","=""4F""","=""7/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""3987.07""","=""0.03""","=""3987.071""","=""0.005""","=""4570bl""","=""""",,"=""57155.857""","=""59663.964""","=""3d6.4s.(6D).5d""","=""7G""","=""4""","=""3d6.4s.(6D<7/2>).5f""","=""2[11/2]*""","=""5""",,"=""""","=""L11631""",
C,1,"=""3987.600""","=""0.005""","=""3987.5966""","=""0.0004""","=""1400""","=""3.5e+04""",B,"=""78293.51263""","=""80801.28887""","=""2s2.2p.3d""","=""3D*""","=""1""","=""2s2.2p.4p""","=""3D""","=""2""",,"=""T6070n""","=""L12175c183""",
Ar,2,"=""3988.0487""","=""0.0005""","=""3988.0486""","=""0.0005""","=""30""","=""""",,"=""199959.6798""","=""202467.1718""","=""3s2.3p4.(3P).5d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
Cl,1,"=""3988.62""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
C,1,"=""3988.6267""","=""0.0006""","=""3988.6269""","=""0.0010""","=""10000*""","=""3.7e+06""",B,"=""83919.66322""","=""86426.7917""","=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""4""",,"=""T9787""","=""L12175c183""",
C,1,"=""3988.6267""","=""0.0006""","=""3988.6280""","=""0.0006""","=""10000*""","=""1.8e+05""",D+,"=""83919.66322""","=""86426.7910""","=""2s2.2p.(2P*<1/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p.(2P*<1/2>).5g""","=""2[7/2]*""","=""3""",,"=""T9787""","=""L12175c183""",
